ZIP,BKCLASS,REPDTE,DEPDOM,ASSET,STNAME,EQ,NAME,CITY,ADDRESS,ENDEFYMD,CERT,ESTYMD,LIAB,ID
45131,NM,20080331,103677,114602,OHIO,10425.0,CITIZENS BK HIGGINSPORT OH,HIGGINSPORT,314 WASHINGTON ST.,20090821,12755,19010101,104177,12755_20080331
74764,NM,20080331,51997,59764,OKLAHOMA,5840.0,FIRST STATE BANK,VALLIANT,DALTON AVE. &HARRIS ST.,99991231,12757,19110101,53924,12757_20080331
74825,NM,20080331,37534,41322,OKLAHOMA,3441.0,FARMERS STB ALLEN OKLAHOMA,ALLEN,101 E. BROADWAY,99991231,12758,19220908,37881,12758_20080331
73028,NM,20080331,96621,123836,OKLAHOMA,13627.0,FARMERS&MERCHANTS BANK,CRESCENT,116 S. GRAND ST.,99991231,12761,19020101,110209,12761_20080331
79027,NM,20080331,677735,759518,TEXAS,63045.0,FIRST UNITED BANK,DIMMITT,201 N. BROADWAY,99991231,12769,19070307,696473,12769_20080331
84003,NM,20080331,728436,890505,UTAH,91419.0,BANK OF AMERICAN FORK,AMERICAN FORK,33 E. MAIN ST.,20211001,12773,19130101,799086,12773_20080331
54498,NM,20080331,55970,63854,WISCONSIN,7120.0,STATE BANK OF WITHEE,WITHEE,410 DIVISION ST.,20081206,12779,19021015,56734,12779_20080331
54935,NM,20080331,165811,195489,WISCONSIN,22956.0,HOMETOWN BANK,FOND DU LAC,80 SHEBOYGAN ST.,99991231,12781,19070101,172533,12781_20080331
54889,NM,20080331,54810,61409,WISCONSIN,6306.0,BANK OF TURTLE LAKE,TURTLE LAKE,MAPLE ST. &ARTHUR AVE.,20140222,12786,19000101,55103,12786_20080331
53515,NM,20080331,40304,44695,WISCONSIN,4225.0,BLACK EARTH STATE BANK,BLACK EARTH,1030 MILLS ST.,20100508,12787,19040101,40469,12787_20080331
53913,N,20080331,525305,596978,WISCONSIN,55089.0,BARABOO NATIONAL BANK,BARABOO,101 3RD AVE.,99991231,12788,18570701,541889,12788_20080331
53804,NM,20080331,22290,25891,WISCONSIN,3451.0,WOODHOUSE&BARTLEY BANK,BLOOMINGTON,445 CANAL ST.,20101228,12790,18830201,22440,12790_20080331
53821,NM,20080331,257276,324903,WISCONSIN,32461.0,PEOPLES STATE BANK,PRAIRIE DU CHIEN,301 E BLACKHAWK AVE,99991231,12814,19150122,292442,12814_20080331
60014,N,20080331,586297,720887,ILLINOIS,64738.0,HOME STB NA,CRYSTAL LAKE,40 GRANT ST.,99991231,12815,19150101,656149,12815_20080331
47112,SM,20080331,165004,262521,INDIANA,19227.0,COMMUNITY FIRST BANK,CORYDON,900 HWY. 62 N.W.,20091001,12827,19250605,243294,12827_20080331
46041,NM,20080331,291016,375211,INDIANA,42070.0,FARMERS BANK FRANKFORT IN,FRANKFORT,9 E. CLINTON ST.,99991231,12828,18760101,333141,12828_20080331
47136,NM,20080331,53809,64141,INDIANA,10105.0,FARMERS STATE BANK,LANESVILLE,HIGHWAY 62,20080625,12830,19100707,54036,12830_20080331
46304,SM,20080331,104611,129248,INDIANA,18655.0,FIRST STATE BANK OF PORTER,PORTER,230 LINCOLN ST.,99991231,12836,19200401,110593,12836_20080331
46919,SM,20080331,460273,596070,INDIANA,68072.0,FIRST FARMERS BANK&TRUST CO,CONVERSE,123 N. JEFFERSON ST.,99991231,12839,19320101,527997,12839_20080331
47408,NM,20080331,637276,773107,INDIANA,63861.0,MONROE BANK,BLOOMINGTON,210 E. KIRKWOOD AVE.,20110101,12847,18921104,709246,12847_20080331
46394,NM,20080331,1586419,1819170,INDIANA,135867.0,CENTIER BANK,WHITING,1500-119TH ST.,99991231,12854,18950421,1683303,12854_20080331
50702,NM,20080331,138376,176052,IOWA,15050.0,FARMERS STATE BANK,WATERLOO,1009 PEOPLE SQ.,99991231,12855,19030625,161002,12855_20080331
50622,NM,20080331,66265,87999,IOWA,8318.0,DENVER SAVINGS BANK,DENVER,121 S. STATE ST.,99991231,12857,19020101,79681,12857_20080331
51301,NM,20080331,227654,273996,IOWA,19960.0,FARMERS TRUST&SAVINGS BANK,SPENCER,125 W. 4TH ST.,99991231,12858,19160407,254036,12858_20080331
52347,NM,20080331,26264,36285,IOWA,6879.0,VICTOR STATE BANK,VICTOR,201 WASHINGTON ST.,20200727,12859,19280411,29406,12859_20080331
81501,N,20080331,500,3244,COLORADO,2596.0,WELLS FARGO BK GRAND JUNCTIO,GRAND JUNCTION,359 MAIN ST.,20090101,12863,19030101,648,12863_20080331
66939,SM,20080331,25787,29703,KANSAS,2533.0,SWEDISH-AMERICAN STATE BANK,COURTLAND,324 LIBERTY ST.,99991231,12865,19130313,27170,12865_20080331
42064,NM,20080331,105047,129596,KENTUCKY,13731.0,FARMERS B&T CO OF MARION KY,MARION,201 S. MAIN ST.,99991231,12869,18991201,115865,12869_20080331
4765,NM,20080331,338488,445411,MAINE,42582.0,KATAHDIN TRUST CO,PATTEN,11 MAIN ST.,99991231,12874,19180307,402829,12874_20080331
21620,NM,20080331,167709,256759,MARYLAND,27126.0,PEOPLES BANK,CHESTERTOWN,100 SPRING AVE.,99991231,12885,19101001,229633,12885_20080331
49045,NM,20080331,44734,59330,MICHIGAN,8897.0,FIRST STATE BANK OF DECATUR,DECATUR,124 PHELPS ST.,99991231,12893,18700101,50433,12893_20080331
